model_id,semantic_case_id,document_id,template_id,condition,run_status,raw_present,provenance_valid,provenance_errors,raw_output_sha256,parse_valid,schema_valid,document_id_correct,field_exact_correct,field_exact_total,field_exact_match,true_positive,false_positive,false_negative,precision,recall,f1,unsupported_count,unsupported_opportunities,unsupported_field_rate,complete_report
google/medgemma-4b-it,MEL-002,MEL-002-A,A,clean,COMPLETED,True,True,,fe7b7b821a0d3f0b20a4645b985b2b1b7da2ee80d1ce47e9c477904536771c6b,True,False,True,9,16,0.5625,9,3,2,0.75,0.8181818181818182,0.7826086956521738,1,5,0.2,False
google/medgemma-4b-it,MEL-002,MEL-002-A,A,ocr_degraded,COMPLETED,True,True,,0f08039a96a16a5438db3c6f124ceb97af85a6876e070c338e35e735f5df4288,True,False,True,10,16,0.625,10,2,1,0.8333333333333334,0.9090909090909091,0.8695652173913043,1,5,0.2,False
google/medgemma-4b-it,MEL-002,MEL-002-B,B,clean,COMPLETED,True,True,,97540dbcf778989ad3945d258047e4a7b11e2822149b560095f38d297def395f,True,False,True,7,16,0.4375,7,5,4,0.5833333333333334,0.6363636363636364,0.6086956521739131,1,5,0.2,False
google/medgemma-4b-it,MEL-002,MEL-002-B,B,ocr_degraded,COMPLETED,True,True,,9d5b658dafa4d9cec81c8b777e4bbf581c8cdb60d5e4914a38e8d402c0a77b0e,True,False,True,8,16,0.5,8,4,3,0.6666666666666666,0.7272727272727273,0.6956521739130435,1,5,0.2,False
google/medgemma-4b-it,MEL-003,MEL-003-A,A,clean,COMPLETED,True,True,,e96017d7292170dd4841a738de5fa4fc225876b5f009966533f3070cad2cb356,True,False,True,11,16,0.6875,9,5,5,0.6428571428571429,0.6428571428571429,0.6428571428571429,0,2,0.0,False
google/medgemma-4b-it,MEL-003,MEL-003-A,A,ocr_degraded,COMPLETED,True,True,,8f9270b182ae42d9456b7f3e3c3d46f619298c74117a0032a0c5643a622b04ef,True,False,True,8,16,0.5,6,6,8,0.5,0.42857142857142855,0.4615384615384615,0,2,0.0,False
google/medgemma-4b-it,MEL-003,MEL-003-B,B,clean,COMPLETED,True,True,,b2d142d6b29e73d7095e0bf04b778aadf9b35eb52db9734f8b6e46476c690dc5,True,False,True,4,16,0.25,4,8,10,0.3333333333333333,0.2857142857142857,0.30769230769230765,0,2,0.0,False
google/medgemma-4b-it,MEL-003,MEL-003-B,B,ocr_degraded,COMPLETED,True,True,,132fd1ff4cb29ff37c931ad9daad7c1e804a431a8295a97aab14f6e02fcb569e,True,False,True,4,16,0.25,2,12,12,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,2,0.0,False
google/medgemma-4b-it,MEL-004,MEL-004-A,A,clean,COMPLETED,True,True,,310fd3ad39555002423f823b5c57d6a55796d721c43790f8a16a9bbb2c765523,True,False,True,7,16,0.4375,2,5,4,0.2857142857142857,0.3333333333333333,0.30769230769230765,2,10,0.2,False
google/medgemma-4b-it,MEL-004,MEL-004-A,A,ocr_degraded,COMPLETED,True,True,,807669d35a8dd12715e4e5fd4cab78a74b988c552cdf06dbc560202c08701e9b,True,False,True,8,16,0.5,2,8,4,0.2,0.3333333333333333,0.25,4,10,0.4,False
google/medgemma-4b-it,MEL-004,MEL-004-B,B,clean,COMPLETED,True,True,,42bcb89b887d10f066f242b5a5c1ba78c4919fa1edbb1e62af8ede011441c924,True,False,True,9,16,0.5625,2,7,4,0.2222222222222222,0.3333333333333333,0.26666666666666666,3,10,0.3,False
google/medgemma-4b-it,MEL-004,MEL-004-B,B,ocr_degraded,COMPLETED,True,True,,f22a237950cdc26449e5dab3f2ed89e73107d4a40f0f015daca864946f078c12,True,False,True,9,16,0.5625,1,5,5,0.16666666666666666,0.16666666666666666,0.16666666666666666,2,10,0.2,False
google/medgemma-4b-it,MEL-005,MEL-005-A,A,clean,COMPLETED,True,True,,a13ab33aefc4b392428a5998fe9a33d1614ebe4f4dbb83b32fdd150a50982cec,True,False,True,12,16,0.75,5,4,4,0.5555555555555556,0.5555555555555556,0.5555555555555556,0,7,0.0,False
google/medgemma-4b-it,MEL-005,MEL-005-A,A,ocr_degraded,COMPLETED,True,True,,a13ab33aefc4b392428a5998fe9a33d1614ebe4f4dbb83b32fdd150a50982cec,True,False,True,12,16,0.75,5,4,4,0.5555555555555556,0.5555555555555556,0.5555555555555556,0,7,0.0,False
google/medgemma-4b-it,MEL-005,MEL-005-B,B,clean,COMPLETED,True,True,,90dcb678d969047a010069d25a6107fd93f060534a1c63c8dc36b04ea5403e18,True,False,True,11,16,0.6875,4,5,5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0,7,0.0,False
google/medgemma-4b-it,MEL-005,MEL-005-B,B,ocr_degraded,COMPLETED,True,True,,495256ce3a538856231689e40768d21874703ac1ed46bc49d011e63729135dd2,True,False,True,11,16,0.6875,4,5,5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0,7,0.0,False
google/medgemma-4b-it,MEL-006,MEL-006-A,A,clean,COMPLETED,True,True,,72cba9c9ddaa0e7435a45bbd5e33cad40366e3b4ca3bf5a0e445a7bcbd63fc56,True,False,True,11,16,0.6875,10,5,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,0.0,False
